Date,League,Team,Opp.,Phase,Coach,Opp. coach,OT/SO,PTS,Leading%,Tied%,Trailing%,TOI,GF,GA,G±,EQ TOI,EQ GF,EQ GA,EQ G±,PP OP,PP%,PP TOI,PP GF,PP GA,PP G±,SH SI,PK%,SH TOI,SH GF,SH GA,SH G±,SH%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,SMF,SPF,SBF,SMA,SPA,SBA,FOW,FOL,FO%,# 0',# 2',# 5',# 10',# 20',PIM,Spectators,MatchID,Outcome,Moneyline,H1-1.5,H1-2.5,H2-1.5,H2+1.5,H2+2.5,TG,Both2Goals,OU4.5,OU5.5,OU6.5,OU7.5
2018-10-05,National League,LHC,HCD,Regular Season,Ville Peltonen,Arno Del Curto,,0.0,0.0,16.42,83.58,60.0,1,5,-4,54.0,1,2.0,-1.0,2.0,0.0,2.1,0,0.0,0.0,4.0,25.0,4.0,0,3,-3,3.23,83.33,86.56,68.0,39,63.55,57,35.0,61.96,31,25,55.36,26.0,0.0,11.0,10,0,4.0,24,30,44.44,0,5,0,0,0.0,10.0,6116.0,20191105000040,-1,0,0,0,1,1,1,6,0,1,1,0,0
2018-10-05,National League,HCAP,SCB,Regular Season,Luca Cereda,Kari Jalonen,,0.0,0.0,40.33,59.67,60.0,1,6,-5,40.4,0,5.0,-5.0,5.0,20.0,9.4,1,0.0,1.0,6.0,83.33,10.2,0,1,-1,4.17,82.35,86.52,51.0,57,47.22,39,44.0,46.99,24,34,41.38,15.0,0.0,12.0,9,1,13.0,28,31,47.46,0,6,0,0,0.0,12.0,4928.0,20191105000037,-1,0,0,0,1,1,1,7,0,1,1,1,0
2018-10-05,National League,EVZ,GSHC,Regular Season,Dan Tangnes,Chris McSorley,,3.0,90.75,9.25,0.0,60.0,5,1,4,44.2,4,1.0,3.0,3.0,33.33,4.6,1,0.0,1.0,6.0,100.0,11.2,0,0,0,23.81,96.77,120.58,46.0,60,43.4,34,44.0,43.59,21,31,40.38,13.0,0.0,12.0,13,0,16.0,24,30,44.44,0,7,0,2,0.0,34.0,6816.0,20191105000042,1,1,1,1,0,0,0,6,0,1,1,0,0
2018-10-05,National League,HCL,SCLT,Regular Season,Greg Ireland,Heinz Ehlers,,0.0,0.0,36.81,63.19,60.0,1,4,-3,46.2,1,2.0,-1.0,5.0,0.0,8.0,0,0.0,0.0,5.0,60.0,5.8,0,2,-2,10.0,90.32,100.32,41.0,70,36.94,25,59.0,29.76,10,32,23.81,14.0,1.0,16.0,27,0,11.0,26,24,52.0,0,5,0,0,0.0,10.0,5877.0,20191105000041,-1,0,0,0,1,1,1,5,0,1,0,0,0
2018-10-05,National League,EHCB,SCRJ,Regular Season,Antti Törmänen,Jeff Tomlinson,,3.0,50.08,49.92,0.0,60.0,2,0,2,42.3,2,0.0,2.0,5.0,0.0,7.9,0,0.0,0.0,6.0,100.0,9.9,0,0,0,5.41,100.0,105.41,68.0,41,62.39,49,24.0,67.12,37,17,68.52,12.0,0.0,19.0,7,0,17.0,29,35,45.31,0,6,0,0,0.0,12.0,5495.0,20191105000038,1,1,1,0,0,0,1,2,0,0,0,0,0
2018-10-05,National League,HCFG,ZSC,Regular Season,Mark French,Serge Aubin,,0.0,0.0,4.83,95.17,60.0,1,2,-1,53.8,1,1.0,0.0,3.0,0.0,6.0,0,0.0,0.0,1.0,0.0,0.2,0,1,-1,2.94,93.1,96.04,64.0,41,60.95,48,35.0,57.83,34,29,53.97,14.0,0.0,16.0,6,0,6.0,22,31,41.51,0,1,0,0,0.0,2.0,5599.0,20191105000039,-1,0,0,0,0,1,1,3,0,0,0,0,0
2018-10-06,National League,SCB,LHC,Regular Season,Kari Jalonen,Ville Peltonen,,3.0,87.89,12.11,0.0,60.0,2,0,2,53.2,1,0.0,1.0,2.0,50.0,2.8,1,0.0,1.0,2.0,100.0,4.0,0,0,0,6.06,100.0,106.06,61.0,65,48.41,50,45.0,52.63,33,32,50.77,16.0,1.0,11.0,13,0,20.0,24,24,50.0,0,4,0,0,0.0,8.0,16007.0,20191105000043,1,1,1,0,0,0,1,2,0,0,0,0,0
2018-10-06,National League,SCLT,HCFG,Regular Season,Heinz Ehlers,Mark French,,0.0,0.0,93.72,6.28,60.0,0,2,-2,47.5,0,1.0,-1.0,4.0,0.0,8.0,0,0.0,0.0,3.0,66.67,4.6,0,1,-1,0.0,97.3,97.3,54.0,59,47.79,37,52.0,41.57,26,38,40.62,10.0,1.0,17.0,12,2,7.0,26,35,42.62,1,5,0,0,0.0,10.0,5704.0,20191105000047,-1,0,0,0,1,1,1,2,0,0,0,0,0
2018-10-06,National League,HCD,EHCB,Regular Season,Arno Del Curto,Antti Törmänen,,0.0,0.0,15.67,84.33,60.0,3,7,-4,41.0,3,6.0,-3.0,2.0,0.0,4.0,0,0.0,0.0,7.0,85.71,15.0,0,1,-1,8.11,83.33,91.44,54.0,66,45.0,40,57.0,41.24,37,42,46.84,3.0,0.0,14.0,13,2,9.0,33,32,50.77,0,5,1,0,1.0,35.0,4368.0,20191105000044,-1,0,0,0,1,1,1,10,1,1,1,1,1
2018-10-06,National League,SCRJ,EVZ,Regular Season,Jeff Tomlinson,Dan Tangnes,,0.0,0.0,12.69,87.31,60.0,1,4,-3,46.7,0,2.0,-2.0,5.0,20.0,9.4,1,1.0,0.0,2.0,50.0,3.9,0,1,-1,3.45,84.0,87.45,68.0,40,62.96,48,32.0,60.0,29,25,53.7,19.0,0.0,20.0,7,0,8.0,35,18,66.04,0,3,0,1,0.0,16.0,4021.0,20191105000046,-1,0,0,0,1,1,1,5,0,1,0,0,0
2018-10-06,National League,GSHC,HCL,Regular Season,Chris McSorley,Greg Ireland,,3.0,98.17,1.83,0.0,60.0,3,0,3,51.0,3,0.0,3.0,4.0,0.0,7.0,0,0.0,0.0,1.0,100.0,2.0,0,0,0,6.06,100.0,106.06,62.0,43,59.05,51,35.0,59.3,34,25,57.63,15.0,2.0,11.0,10,0,8.0,30,30,50.0,0,1,0,0,0.0,2.0,5606.0,20191105000045,1,1,1,1,0,0,0,3,0,0,0,0,0
2018-10-09,National League,GSHC,LHC,Regular Season,Chris McSorley,Ville Peltonen,SO,2.0,13.05,86.95,0.0,65.0,2,1,1,54.4,0,1.0,-1.0,4.0,25.0,6.6,1,0.0,1.0,2.0,100.0,4.0,0,0,0,2.63,96.88,99.51,77.0,62,55.4,50,45.0,52.63,38,32,54.29,11.0,1.0,27.0,12,1,17.0,49,17,74.24,0,2,0,0,0.0,4.0,6067.0,20191105000154,0,1,0,0,0,1,1,3,0,0,0,0,0
2018-10-12,National League,SCRJ,SCLT,Regular Season,Jeff Tomlinson,Heinz Ehlers,,0.0,0.0,14.72,85.28,60.0,0,2,-2,45.0,0,1.0,-1.0,4.0,0.0,8.0,0,0.0,0.0,4.0,75.0,7.0,0,1,-1,0.0,93.1,93.1,52.0,50,50.98,38,39.0,49.35,26,29,47.27,12.0,0.0,14.0,10,0,11.0,31,21,59.62,0,4,0,0,0.0,8.0,3795.0,20191105000053,-1,0,0,0,1,1,1,2,0,0,0,0,0
2018-10-12,National League,EHCB,GSHC,Regular Season,Antti Törmänen,Chris McSorley,,3.0,77.92,22.08,0.0,60.0,5,1,4,54.3,4,1.0,3.0,3.0,33.33,3.7,1,0.0,1.0,1.0,100.0,2.0,0,0,0,14.71,96.43,111.13,58.0,64,47.54,49,43.0,53.26,34,28,54.84,14.0,1.0,9.0,15,0,21.0,26,33,44.07,0,1,0,0,0.0,2.0,5562.0,20191105000051,1,1,1,1,0,0,0,6,0,1,1,0,0
2018-10-12,National League,HCFG,HCL,Regular Season,Mark French,Greg Ireland,,3.0,26.5,59.42,14.08,60.0,2,1,1,48.9,1,1.0,0.0,3.0,33.33,5.2,1,0.0,1.0,3.0,100.0,6.0,0,0,0,6.25,95.24,101.49,55.0,43,56.12,46,32.0,58.97,32,21,60.38,13.0,1.0,9.0,11,0,11.0,28,20,58.33,0,3,0,1,0.0,16.0,5707.0,20191105000052,1,1,0,0,0,1,1,3,0,0,0,0,0
